"","X","site","treatment","Organism","metric","value"
"122",122,"gutr","r","Bee","CC Pollinators",0.350632660531861
"123",123,"gutr","r","Bee","CC Plants",0.410384805635696
"124",124,"gutr","r","Bee","NODF",39.9616733964501
"125",125,"gutr","r","Bee","Links per Species",1.77845121843249
"126",126,"gutr","r","Bee","ISA",-0.0313043488990459
"127",127,"gutc","c","Wasp","CC Overall",0.125
"128",128,"gutc","c","Wasp","CC Pollinators",0.570652173913043
"129",129,"gutc","c","Wasp","CC Plants",0.478260869565217
"130",130,"gutc","c","Wasp","NODF",50
"131",131,"gutc","c","Wasp","Links per Species",1
"132",132,"gutc","c","Wasp","ISA",0.0534090909090909
"133",133,"gutc","c","Combined","CC Overall",0.216065709290709
"134",134,"gutc","c","Combined","CC Pollinators",0.481432784286257
"135",135,"gutc","c","Combined","CC Plants",0.459401460314769
"136",136,"gutc","c","Combined","NODF",41.4926949399808
"137",137,"gutc","c","Combined","Links per Species",1.15861963885526
"138",138,"gutc","c","Combined","ISA",0.00410056274532386
"139",139,"gutc","c","Bee","CC Overall",0.182052544677545
"140",140,"gutc","c","Bee","CC Pollinators",0.499429490314426
"141",141,"gutc","c","Bee","CC Plants",0.509076388832853
"142",142,"gutc","c","Bee","NODF",45.6235307164683
"143",143,"gutc","c","Bee","Links per Species",1.20743051918916
"144",144,"gutc","c","Bee","ISA",-0.0377378547920044
